date,batter_id,barrel_pct,exit_velo,hr_fb_pct,iso,xwoba_contact,pull_fb_pct,recent_hr_14d,recent_barrel_pct_14d,ev_trend_14d,pitcher_hr_per_9,pitcher_era,pitcher_hh_pct,pitcher_k_per_9,pitcher_fb_pct_allowed,woba_vs_hand,archetype_similarity,vegas_team_total_pct,platoon_advantage,hr_park_factor,temperature_f,wind_mph,wind_direction_deg,humidity_pct,is_dome,batting_order,fetched_at,source,bats,throws,weather_source,barrel_pct_source,vegas_team_total_raw,lineup_source,pitcher_recent_hr9_21d,pitcher_recent_starts_21d,recent_hr_10g,recent_iso_30g,recent_avg_30g,recent_window_days,ev_trend,pitcher_recent_era_21d,pitcher_recent_k9_21d,season_hr,recent_barrel_real_14d,recent_xwoba_contact_14d,recent_iso_14d,recent_barrel_real_21d,recent_xwoba_contact_21d,recent_iso_21d,recent_barrel_real_28d,recent_xwoba_contact_28d,recent_iso_28d,fb_slg,fb_pa,br_slg,br_pa,os_slg,os_pa,form_archetype_centroid_json,form_archetype_window,form_archetype_n_hrs,park_archetype_centroid_json,park_archetype_n_hrs,slate_park_pct,slate_weather_pct,slate_pitcher_vulnerability_pct
2026-07-13,841754,14.8,91.9,19.8,0.271,,,,,,1.4,4.1,36.0,7.8,,0.37,,,0,108.0,71.1662133891803,11.178132858959268,16,59.58442964628762,0,4,2026-07-13 15:47:27,live,L,L,,,,,,,3.3212622472143245,0.2687681941998356,0.2812522682730947,38,,,,48,,,,,,,,,,,,,,,,,,,,,,,
2026-07-13,658117,16.2,93.4,21.5,0.295,,,,,,0.6,2.6,28.0,8.8,,0.385,,,1,104.0,72.0,0.0,0,50.0,1,6,2026-07-13 15:47:27,live,R,L,,,,,,,0.6899433133311708,0.32943032938842987,0.2775644653571555,38,,,,52,,,,,,,,,,,,,,,,,,,,,,,
2026-07-13,616764,6.1,82.5,10.5,0.165,,,,,,1.6,4.6,38.0,10.5,,0.358,,,1,101.0,59.995027703414785,7.307266620010172,73,24.745299723787404,0,3,2026-07-13 15:47:27,live,R,L,,,,,,,0.9519551576607551,0.19417802105577392,0.23279486297149746,38,,,,27,,,,,,,,,,,,,,,,,,,,,,,
2026-07-13,602752,6.7,83.2,11.1,0.173,,,,,,1.1,3.5,33.0,10.8,,0.37,,,1,108.0,71.1662133891803,11.178132858959268,16,59.58442964628762,0,2,2026-07-13 15:47:27,live,R,L,,,,,,,1.2996427167652889,0.16944151979256383,0.23487945403061533,38,,,,28,,,,,,,,,,,,,,,,,,,,,,,
2026-07-13,733538,12.9,90.8,17.5,0.251,,,,,,1.2,3.65,34.0,9.2,,0.355,,,0,103.0,75.17825333014349,2.112523890100505,39,80.44929946265002,0,2,2026-07-13 15:47:27,live,R,R,,,,,,,1.7571614512919398,0.2090259227065502,0.2606989790951742,38,,,,44,,,,,,,,,,,,,,,,,,,,,,,
2026-07-13,171037,13.5,91.2,18.2,0.258,,,,,,0.6,2.6,28.0,8.8,,0.362,,,0,104.0,52.37944003886333,12.448710257469308,347,64.04716753215322,0,2,2026-07-13 15:47:27,live,L,L,,,,,,,2.7303868262283864,0.27513669559288595,0.27246095577212415,38,,,,45,,,,,,,,,,,,,,,,,,,,,,,
2026-07-13,403203,11.8,89.5,16.3,0.238,,,,,,1.6,4.6,38.0,10.5,,0.342,,,1,101.0,59.995027703414785,7.307266620010172,73,24.745299723787404,0,3,2026-07-13 15:47:27,live,R,L,,,,,,,0.6650688100600032,0.17682448794838473,0.27310053611838936,38,,,,41,,,,,,,,,,,,,,,,,,,,,,,
2026-07-13,605345,12.4,90.1,16.9,0.244,,,,,,0.7,2.7,29.0,10.5,,0.348,,,1,103.0,75.17825333014349,2.112523890100505,39,80.44929946265002,0,1,2026-07-13 15:47:27,live,S,L,,,,,,,1.047004542267245,0.25316341945642357,0.28289305345686694,38,,,,42,,,,,,,,,,,,,,,,,,,,,,,
2026-07-13,656741,8.5,85.6,13.1,0.198,,,,,,1.1,3.5,33.0,10.8,,0.36,,,0,108.0,71.1662133891803,11.178132858959268,16,59.58442964628762,0,1,2026-07-13 15:47:27,live,L,L,,,,,,,2.108402224075225,0.2282153563149552,0.2631430026815579,38,,,,34,,,,,,,,,,,,,,,,,,,,,,,
2026-07-13,204869,10.2,87.9,14.7,0.22,,,,,,1.5,4.2,37.0,10.0,,0.348,,,0,98.0,69.27433302938199,0.0,190,68.9394531108918,0,6,2026-07-13 15:47:27,live,L,L,,,,,,,0.0,0.2731429465851561,0.2436278185317644,38,,,,38,,,,,,,,,,,,,,,,,,,,,,,
